gene,AGH,CFB,CGC,CHC,HPB,Overall
PRDM15,31.925739058207576,46.5129745103564,52.140944650786146,31.491017437768086,36.07158352182199,39.62845183578804
INHBE,51.640876194117936,39.073030845412895,43.2438567711366,26.50914820677601,37.45699806412595,39.58478201631388
RHOBTB1,26.4699479068537,39.27757950550911,53.29746039505875,32.97481340473318,45.79673623117512,39.56330748866597
TAF11L5,40.3581313202005,26.58910503908767,39.72838888946595,43.69653968893337,46.486540433250035,39.371741074187504
MYH2,34.301684678760296,39.23086611304619,63.66520905367275,24.52155572244254,35.05044331851004,39.35395177728636
SAXO1,34.85029491983575,29.74687227512016,36.064719622013655,57.56870208259899,38.48282498116479,39.34268277614667
TUBB3,37.623008093697244,51.315831411604584,21.17180588455283,49.72970209803816,36.42510502485608,39.25309050254978
EVI5,30.259776475913696,37.64130115159821,34.4684461621994,47.77130048422066,43.59267808077302,38.746700470941
HNRNPF,43.54166274858681,37.828209067267814,25.970071879782004,41.61376528673092,44.56238750005963,38.703219296485436
TWNK,28.144738854017028,45.52717421572408,45.4819899363399,50.869453335833214,22.08470164757029,38.421611597896906
COMMD9,44.84529593613769,63.22970514902959,29.423436380044404,39.52950111023724,14.983505316063486,38.402288778302484
UXT,31.45268439430538,37.14337412037318,38.44310098615463,43.32138576441455,41.341016644569265,38.3403123819634
INTU,46.35125770905228,24.04034217161438,36.040288427222684,39.875496329010765,44.95798187966958,38.25307330331394
CYB561,50.249883738812485,33.3476609750107,35.21014320427102,33.74880361243021,37.88616791846532,38.08853188979795
PANK3,45.01120522573533,45.42076407482034,42.913755121358385,26.584158068510426,29.459974786546134,37.877971455394125
POLR2J2,46.88348573935415,42.55356585409565,35.47921120342134,23.118368090558995,40.48607618488275,37.704141414462576
COX7B,40.079005613002415,35.92437473953184,36.489405975737874,49.783551106488225,24.029361791126963,37.26113984517747
TTF2,34.613505549527154,33.80843866077189,42.900856648660266,43.479597506144266,31.044734830580474,37.16942663913681
ACSM3,42.6041261026988,39.78891439682961,23.751110374878543,38.213596744164796,40.64714072545754,37.00097766880586
TEX55,28.278560488576655,37.54540863555251,50.59532659426061,33.912998676663996,34.445982779475756,36.95565543490591
TMED5,25.89342205714487,34.802222369747746,52.431110332195765,23.987724356350295,47.208962202342036,36.86468826355614
H3C12,40.85411410598723,49.23229769465807,27.261377312340308,26.69656231785981,40.03695754907611,36.8162617959843
DDX42,34.38721192282655,46.07245612457596,25.74083487315671,34.51031277235258,42.47631048665419,36.6374252359132
DLEC1,38.83690452204293,50.91452559057611,21.169312545423264,40.364057368912775,30.63871999646472,36.38470400468396
